NVTX Range,Style,PID,TID,NVTX Inst,Kern Inst,Total Time (ns),Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Kernel Name
TensorRT:{ForeignNode[/Cast.../Add_111]},PushPop,649196,649196,4,8,98624,12328.0,11056.0,10400,15136,2318.0,__myl_MulMeaAddSqrDivMulMulMulMinMaxRouCas_0xd756cf8085615be8f2df33c74bb9ac74
TensorRT:{ForeignNode[/Cast.../Add_111]},PushPop,649196,649196,4,4,96992,24248.0,24128.0,23936,24800,400.9,__myl_MovMulMeaAddSqrDivMulDivMinMaxRouCasDivMinMaxRouCasDivMinMaxRouCas_0xda00efdea1fdf9ffc7ce7052979834ac
TensorRT:{ForeignNode[/Cast.../Add_111]},PushPop,649196,649196,4,8,94432,11804.0,11920.0,10400,13248,1266.0,__myl_MulMeaAddSqrDivMulMulMulMinMaxRouCas_0xcf81b38212e8f296e353aae060904a23
TensorRT:{ForeignNode[/Cast.../Add_111]},PushPop,649196,649196,4,8,92288,11536.0,10784.0,10240,13600,1461.1,__myl_MulMeaAddSqrDivMulMulMulMinMaxRouCas_0x6cfe86dd6e4d3c2d552f909cb133c113
TensorRT:{ForeignNode[/Cast.../Add_111]},PushPop,649196,649196,3,3,90528,30176.0,29856.0,29824,30848,582.2,__myl_CasResMulConSinResCosResAddSqrAddSqrDivMulDivMulMulTraSliSliNegConMulMulAddResSliRepResTraEtc_0xeeda8c3ad0b01a41e68bda37288b89cd_com
TensorRT:{ForeignNode[/Cast.../Add_111]},PushPop,649196,649196,3,3,85728,28576.0,28768.0,27008,29952,1481.4,__myl_MovResConResRep_0xeb90291bbf009f8413c8500b92afa70a
TensorRT:{ForeignNode[/Cast.../Add_111]},PushPop,649196,649196,3,3,80352,26784.0,26848.0,25984,27520,770.0,_gemm_mha_v2_0xc7841b14f7d92c2016746a6691400a52
TensorRT:{ForeignNode[/Cast.../Add_111]},PushPop,649196,649196,3,3,79968,26656.0,26880.0,26080,27008,502.9,_gemm_mha_v2_0x868207ee750ff7049028a80d32d17323
TensorRT:{ForeignNode[/Cast.../Add_111]},PushPop,649196,649196,3,3,79776,26592.0,26432.0,26208,27136,484.2,_gemm_mha_v2_0x122d493ce64aa00c197ae40baf03a637
TensorRT:{ForeignNode[/Cast.../Add_111]},PushPop,649196,649196,3,3,79680,26560.0,26464.0,25984,27232,629.5,_gemm_mha_v2_0xf4c36af1b3c39fab3312671f178aa157
TensorRT:{ForeignNode[/Cast.../Add_111]},PushPop,649196,649196,3,3,79392,26464.0,26400.0,26368,26624,139.5,_gemm_mha_v2_0xab4761469dea155adca77ef52bd80a61
TensorRT:{ForeignNode[/Cast.../Add_111]},PushPop,649196,649196,3,3,79232,26410.7,26272.0,26112,26848,387.1,_gemm_mha_v2_0xccf3a8474acc5fc16b0ad4e1c69800bb
TensorRT:{ForeignNode[/Cast.../Add_111]},PushPop,649196,649196,3,6,79200,13200.0,13120.0,11872,14816,1070.7,__myl_MulMeaAddSqrDivMulMulMulMinMaxRouCas_0x2cc3c24a31f9b93e7da9ce04660164df_com_vec
TensorRT:{ForeignNode[/Cast.../Add_111]},PushPop,649196,649196,3,3,79072,26357.3,26528.0,25888,26656,411.5,_gemm_mha_v2_0xf65d6b1571997bdfc737df09a44d72ad
TensorRT:{ForeignNode[/Cast.../Add_111]},PushPop,649196,649196,3,3,79040,26346.7,26304.0,26016,26720,353.9,_gemm_mha_v2_0x2f61b06ce635a250b28ae8ee2ab3b5cb
TensorRT:{ForeignNode[/Cast.../Add_111]},PushPop,649196,649196,3,3,78912,26304.0,26368.0,25920,26624,356.3,_gemm_mha_v2_0xa7ca53b515adf180e9a745693ffd0464
TensorRT:{ForeignNode[/Cast.../Add_111]},PushPop,649196,649196,3,3,78752,26250.7,26208.0,26208,26336,73.9,_gemm_mha_v2_0x69db25f8b455550858c08191df7c4023
TensorRT:{ForeignNode[/Cast.../Add_111]},PushPop,649196,649196,3,3,78624,26208.0,26240.0,26112,26272,84.7,_gemm_mha_v2_0x582f9c30de38a93e722c6de99876bc60
TensorRT:{ForeignNode[/Cast.../Add_111]},PushPop,649196,649196,3,3,78592,26197.3,26048.0,25824,26720,466.3,_gemm_mha_v2_0xf766752c8950edccd27d326ac8c5c5d0
TensorRT:{ForeignNode[/Cast.../Add_111]},PushPop,649196,649196,3,3,78528,26176.0,25952.0,25792,26784,532.6,_gemm_mha_v2_0x1c8140cface6b993997d7cd4b7477616
TensorRT:{ForeignNode[/Cast.../Add_111]},PushPop,649196,649196,3,3,78528,26176.0,26272.0,25952,26304,194.6,_gemm_mha_v2_0xeb55f16e4b7e71fdcdb973b60cd3db5e
TensorRT:{ForeignNode[/Cast.../Add_111]},PushPop,649196,649196,3,3,78432,26144.0,26208.0,25856,26368,261.9,_gemm_mha_v2_0x5365bc7530dd58ba06615d617f2617f3
TensorRT:{ForeignNode[/Cast.../Add_111]},PushPop,649196,649196,3,3,78272,26090.7,26048.0,25920,26304,195.5,_gemm_mha_v2_0xc2d92b3cbb126a251b76d78c57684e17
TensorRT:{ForeignNode[/Cast.../Add_111]},PushPop,649196,649196,3,3,78208,26069.3,26016.0,25920,26272,182.0,_gemm_mha_v2_0xee0414de60764f75e46b3b8d1e16fc19
TensorRT:{ForeignNode[/Cast.../Add_111]},PushPop,649196,649196,3,3,78144,26048.0,26144.0,25728,26272,284.4,_gemm_mha_v2_0xb386849c29e984208fe41d8ff07d34fc
TensorRT:{ForeignNode[/Cast.../Add_111]},PushPop,649196,649196,3,6,77952,12992.0,11920.0,11776,15328,1773.7,__myl_MulMeaAddSqrDivMulMulMulMinMaxRouCas_0x06bdba4595fd33adf3c728cf049f0b03_com_vec
TensorRT:{ForeignNode[/Cast.../Add_111]},PushPop,649196,649196,3,3,77888,25962.7,25984.0,25888,26016,66.6,_gemm_mha_v2_0xe6bc19e69c82f8044e9874292acae825
TensorRT:{ForeignNode[/Cast.../Add_111]},PushPop,649196,649196,3,6,76736,12789.3,12624.0,11776,14880,1143.9,__myl_MulMeaAddSqrDivMulMulMulMinMaxRouCas_0x631eac58eb6694e001a0929b8bf99c28_com_vec
TensorRT:{ForeignNode[/Cast.../Add_111]},PushPop,649196,649196,3,3,76576,25525.3,25664.0,24896,26016,572.7,_gemm_mha_v2_0xe051501b8c48027b8c2c96139ee1b93f
TensorRT:{ForeignNode[/Cast.../Add_111]},PushPop,649196,649196,3,3,76288,25429.3,25376.0,25216,25696,244.4,_gemm_mha_v2_0xbbc42f75034653fb101166ea3f96b8ac
TensorRT:{ForeignNode[/Cast.../Add_111]},PushPop,649196,649196,3,6,75744,12624.0,12288.0,11840,13760,877.2,__myl_MulMeaAddSqrDivMulMulMulMinMaxRouCas_0xc1e4e1e5e4fa4b9df1194c070c461029_com_vec
TensorRT:{ForeignNode[/Cast.../Add_111]},PushPop,649196,649196,3,3,73824,24608.0,24416.0,24288,25120,448.0,_gemm_mha_v2_0x1f788b071d831d329684abd45c8719fb
TensorRT:{ForeignNode[/Cast.../Add_111]},PushPop,649196,649196,3,3,72128,24042.7,24032.0,24000,24096,48.9,_gemm_mha_v2_0x60fab5add8bb246f4c8714685e81d651
TensorRT:{ForeignNode[/Cast.../Add_111]},PushPop,649196,649196,4,8,69440,8680.0,8736.0,8320,8928,187.2,__myl_MulMinMaxRouCas_0x774908550917e749f75db6185bcae83f
TensorRT:{ForeignNode[/Cast.../Add_111]},PushPop,649196,649196,3,3,66304,22101.3,22112.0,22016,22176,80.5,__myl_MovMulMeaAddSqrDivMulMulMinMaxRouCasMulMinMaxRouCasMulMinMaxRouCas_0xc7a30bf0a7462c13e72d54b03c27c3b2_com_vec
TensorRT:{ForeignNode[/Cast.../Add_111]},PushPop,649196,649196,4,4,60288,15072.0,15168.0,14688,15264,261.3,__myl_MulMeaAddSqrDivMulMulMulMinMaxRouCas_0x8b0f22c4a2121702a93d8623b5a12ae4
TensorRT:{ForeignNode[/Cast.../Add_111]},PushPop,649196,649196,4,4,55552,13888.0,13888.0,13760,14016,107.7,__myl_MulMeaAddSqrDivMulMulMulMinMaxRouCas_0xf2d64d0cef819045fc9d252a6b31181b
TensorRT:{ForeignNode[/Cast.../Add_111]},PushPop,649196,649196,4,4,54720,13680.0,13664.0,13216,14176,457.4,__myl_MovResMulMea_0x8729692710be644f17c7f997918851be
TensorRT:{ForeignNode[/Cast.../Add_111]},PushPop,649196,649196,4,4,54048,13512.0,13520.0,13152,13856,348.0,__myl_MulMeaAddSqrDivMulMulMulMinMaxRouCas_0x2b4860727aa16b8274c6a9e412ad0345
TensorRT:{ForeignNode[/Cast.../Add_111]},PushPop,649196,649196,4,4,54016,13504.0,13408.0,13344,13856,236.6,__myl_MulMeaAddSqrDivMulMulMulMinMaxRouCas_0xeadba79c8105dff3fdb08ce085e7b12c
TensorRT:{ForeignNode[/Cast.../Add_111]},PushPop,649196,649196,4,4,53952,13488.0,13488.0,13056,13920,431.3,__myl_MulMeaAddSqrDivMulMulMulMinMaxRouCas_0x9b99130746ee47ec2d15b111319f425e
TensorRT:{ForeignNode[/Cast.../Add_111]},PushPop,649196,649196,4,4,53728,13432.0,13392.0,13120,13824,337.0,__myl_MulMeaAddSqrDivMulMulMulMinMaxRouCas_0xe944abd3db8709490013ec56e805a4c9
TensorRT:{ForeignNode[/Cast.../Add_111]},PushPop,649196,649196,4,4,53696,13424.0,13392.0,13120,13792,311.9,__myl_MulMeaAddSqrDivMulMulMulMinMaxRouCas_0xb2a73dcdcb246645ed7bcf4e6ce7b3cc
TensorRT:{ForeignNode[/Cast.../Add_111]},PushPop,649196,649196,4,4,53440,13360.0,13232.0,13216,13760,267.1,__myl_MulMeaAddSqrDivMulMulMulMinMaxRouCas_0xa03da8bd0547b3997e4af5d64a9f7047
TensorRT:{ForeignNode[/Cast.../Add_111]},PushPop,649196,649196,4,4,52480,13120.0,13136.0,12416,13792,574.2,__myl_MulMeaAddSqrDivMulMulMulMinMaxRouCas_0xb633f57e2e22833f593c4f215c79f20a
TensorRT:{ForeignNode[/Cast.../Add_111]},PushPop,649196,649196,4,4,52384,13096.0,13104.0,13056,13120,30.6,__myl_MulMeaAddSqrDivMulMulMulMinMaxRouCas_0xbc9bffbf2b5683589f7ee804485f8f6c
TensorRT:{ForeignNode[/Cast.../Add_111]},PushPop,649196,649196,4,4,50272,12568.0,12544.0,12448,12736,120.8,__myl_MovResMulMea_0x61ec5b9962acde3fddf5628b2e6fd459
TensorRT:{ForeignNode[/Cast.../Add_111]},PushPop,649196,649196,4,4,49472,12368.0,13024.0,10336,13088,1355.0,__myl_MulMeaAddSqrDivMulMulMulMinMaxRouCas_0xd65f433ff7b34abefa6995ce894b46a3
TensorRT:{ForeignNode[/Cast.../Add_111]},PushPop,649196,649196,4,4,49408,12352.0,13008.0,10304,13088,1366.4,__myl_MulMeaAddSqrDivMulMulMulMinMaxRouCas_0xdba6260d6d388ff570fe95b3f4430bd0
TensorRT:{ForeignNode[/Cast.../Add_111]},PushPop,649196,649196,4,4,49152,12288.0,12624.0,11200,12704,726.4,__myl_MulMeaAddSqrDivMulMulMulMinMaxRouCas_0x77624facc1459ff2bf110c24ed8021c9
TensorRT:{ForeignNode[/Cast.../Add_111]},PushPop,649196,649196,4,4,47776,11944.0,11936.0,10368,13536,1819.9,__myl_MulMeaAddSqrDivMulMulMulMinMaxRouCas_0x5bd2afd5a5411fb85888be6c8200be17
TensorRT:{ForeignNode[/Cast.../Add_111]},PushPop,649196,649196,3,3,46944,15648.0,16224.0,14080,16640,1373.8,__myl_MulMeaAddSqrDivMulMulMulMinMaxRouCas_0xa7a56a9ae5b9c92481e0f5772d53a4c2_com_vec
TensorRT:{ForeignNode[/Cast.../Add_111]},PushPop,649196,649196,4,4,46336,11584.0,11344.0,11264,12384,536.1,__myl_MulMeaAddSqrDivMulMulMulMinMaxRouCas_0x84ef5602e3183b8229f8022d6e6eb74f
TensorRT:{ForeignNode[/Cast.../Add_111]},PushPop,649196,649196,3,3,45728,15242.7,15264.0,15136,15328,97.8,__myl_NegExpAddDivMulMul_0x35e9fa130a3939e5b59c6ddbd0568b35_com_vec
TensorRT:{ForeignNode[/Cast.../Add_111]},PushPop,649196,649196,3,3,45472,15157.3,15072.0,14976,15424,235.9,__myl_MulMeaAddSqrDivMulMulMulMinMaxRouCas_0xe663a90863e1c63edebb2571b115f54d_com_vec
TensorRT:{ForeignNode[/Cast.../Add_111]},PushPop,649196,649196,3,3,45152,15050.7,14944.0,14848,15360,272.2,__myl_MulMeaAddSqrDivMulMulMulMinMaxRouCas_0x0f05f340665da317c2be64fa415c473a_com_vec
TensorRT:{ForeignNode[/Cast.../Add_111]},PushPop,649196,649196,3,3,45024,15008.0,15040.0,14752,15232,241.6,__myl_MulMeaAddSqrDivMulMulMulMinMaxRouCas_0x0ded10591a9065a1ce867a2c40e34ad5_com_vec
TensorRT:{ForeignNode[/Cast.../Add_111]},PushPop,649196,649196,4,4,44928,11232.0,10432.0,10400,13664,1621.4,__myl_MulMeaAddSqrDivMulMulMulMinMaxRouCas_0x028e232ad04f9dc415033ab5492ba131
TensorRT:{ForeignNode[/Cast.../Add_111]},PushPop,649196,649196,3,3,44576,14858.7,14720.0,14560,15296,387.1,__myl_MulMeaAddSqrDivMulMulMulMinMaxRouCas_0x69b2836c7bea850742d274e0c94ca89a_com_vec
TensorRT:{ForeignNode[/Cast.../Add_111]},PushPop,649196,649196,3,3,44544,14848.0,14912.0,14560,15072,261.9,__myl_MulMeaAddSqrDivMulMulMulMinMaxRouCas_0x7b2198561702574d86c9afed3e2e35ba_com_vec
TensorRT:{ForeignNode[/Cast.../Add_111]},PushPop,649196,649196,3,3,44416,14805.3,14784.0,14528,15104,288.6,__myl_MulMeaAddSqrDivMulMulMulMinMaxRouCas_0x6db55c2885f6b73e7dbf474aec093db8_com_vec
TensorRT:{ForeignNode[/Cast.../Add_111]},PushPop,649196,649196,3,3,44096,14698.7,14912.0,14272,14912,369.5,__myl_MulMeaAddSqrDivMulMul_0xecca72c958a3414a0b497095c432af2e_com_vec
TensorRT:{ForeignNode[/Cast.../Add_111]},PushPop,649196,649196,4,4,43392,10848.0,10336.0,10304,12416,1045.4,__myl_MulMeaAddSqrDivMulMulMulMinMaxRouCas_0x4119fc4c6529add99aa14081dbc16ecb
TensorRT:{ForeignNode[/Cast.../Add_111]},PushPop,649196,649196,4,4,43168,10792.0,10736.0,10336,11360,504.2,__myl_MulMeaAddSqrDivMulMulMulMinMaxRouCas_0x2d193f06c4770a0b130c316a9152d3bb
TensorRT:{ForeignNode[/Cast.../Add_111]},PushPop,649196,649196,3,3,42976,14325.3,14336.0,14272,14368,48.9,__myl_ResTraResSliRepRes_0xc9f73409107decab95699693f5f53538_com
TensorRT:{ForeignNode[/Cast.../Add_111]},PushPop,649196,649196,3,3,42720,14240.0,14848.0,12832,15040,1223.1,__myl_MulMeaAddSqrDivMulMulMulMinMaxRouCas_0x39930415a2956c4b8d18ef510c0d5c8a_com_vec
TensorRT:{ForeignNode[/Cast.../Add_111]},PushPop,649196,649196,3,3,42688,14229.3,14208.0,13824,14656,416.4,__myl_MulMeaAddSqrDivMulMul_0x7950617bc96f544a93cba59dd9f0896c_com_vec
TensorRT:{ForeignNode[/Cast.../Add_111]},PushPop,649196,649196,3,3,42368,14122.7,15104.0,12160,15104,1699.7,__myl_MulMeaAddSqrDivMulMulMulMinMaxRouCas_0xdb3307c818c43e652e527c56f123786c_com_vec
TensorRT:{ForeignNode[/Cast.../Add_111]},PushPop,649196,649196,4,4,42208,10552.0,10400.0,10336,11072,349.0,__myl_MulMeaAddSqrDivMulMulMulMinMaxRouCas_0xa203a21bb9a2ead322f314c5ed6c45fd
TensorRT:{ForeignNode[/Cast.../Add_111]},PushPop,649196,649196,3,3,42080,14026.7,14240.0,12928,14912,1009.1,__myl_MulMeaAddSqrDivMulMulMulMinMaxRouCas_0x2354092d3df3900c1fd6815a7ba9dac1_com_vec
TensorRT:{ForeignNode[/Cast.../Add_111]},PushPop,649196,649196,3,3,41856,13952.0,15104.0,11616,15136,2023.1,__myl_MulMeaAddSqrDivMulMulMulMinMaxRouCas_0x55aaf8a4cec60956953a80afc5c7b2a6_com_vec
TensorRT:{ForeignNode[/Cast.../Add_111]},PushPop,649196,649196,3,3,41760,13920.0,12960.0,12896,15904,1718.5,__myl_MulMeaAddSqrDivMulMulMulMinMaxRouCas_0xb8020f747bc473120c074e71691b4a60_com_vec
TensorRT:{ForeignNode[/Cast.../Add_111]},PushPop,649196,649196,3,3,41120,13706.7,14464.0,11584,15072,1863.3,__myl_MulMeaAddSqrDivMulMulMulMinMaxRouCas_0x8a866b4697691e17e265b1490eb77602_com_vec
TensorRT:{ForeignNode[/Cast.../Add_111]},PushPop,649196,649196,3,3,40384,13461.3,13120.0,12416,14848,1251.4,__myl_MulMeaAddSqrDivMulMulMulMinMaxRouCas_0xf1def207df08f4e6d789049433c3866b_com_vec
TensorRT:{ForeignNode[/Cast.../Add_111]},PushPop,649196,649196,3,3,39488,13162.7,13024.0,11712,14752,1524.7,__myl_MulMeaAddSqrDivMulMulMulMinMaxRouCas_0x9c020f3e6c1f94e17da10163a8e4f733_com_vec
TensorRT:{ForeignNode[/Cast.../Add_111]},PushPop,649196,649196,3,3,38720,12906.7,11968.0,11872,14880,1709.6,__myl_MulMeaAddSqrDivMulMulMulMinMaxRouCas_0x0f631e6ab9f0eda3ff940fe21a35a79e_com_vec
TensorRT:{ForeignNode[/Cast.../Add_111]},PushPop,649196,649196,3,3,38528,12842.7,11808.0,11744,14976,1847.8,__myl_MulMeaAddSqrDivMulMulMulMinMaxRouCas_0x24a69f107a63616e3e844d5227fd6f6c_com_vec
TensorRT:{ForeignNode[/Cast.../Add_111]},PushPop,649196,649196,3,3,38112,12704.0,12896.0,12224,12992,418.5,__myl_ResMulMea_0xae152563f1149376365003f94aabf3c4_com_vec
TensorRT:{ForeignNode[/Cast.../Add_111]},PushPop,649196,649196,3,3,36768,12256.0,12256.0,12160,12352,96.0,__myl_MulMeaAddSqrDivMulMulMulMinMaxRouCas_0xaa5ba99515f1ab5b5fe1bff8e1cdf965_com_vec
TensorRT:{ForeignNode[/Cast.../Add_111]},PushPop,649196,649196,3,3,36736,12245.3,12192.0,11648,12896,625.7,__myl_MulMeaAddSqrDivMulMulMulMinMaxRouCas_0xe71ebe1a59b22d4bca83cb15f0059a7c_com_vec
TensorRT:{ForeignNode[/Cast.../Add_111]},PushPop,649196,649196,4,4,36512,9128.0,8944.0,8544,10080,690.5,__myl_MulMinMaxRouCas_0x806abff2303c4adb22dac0953af546a1
TensorRT:{ForeignNode[/Cast.../Add_111]},PushPop,649196,649196,4,4,36192,9048.0,9008.0,8672,9504,371.7,__myl_MulMinMaxRouCas_0x7c03f425cd0cc19febc97cb69c1f2cdb
TensorRT:{ForeignNode[/Cast.../Add_111]},PushPop,649196,649196,3,3,35968,11989.3,12128.0,11648,12192,297.3,__myl_ResMulMea_0xa004b8b1aee1c828801c9405f41c9d8a_com_vec
TensorRT:{ForeignNode[/Cast.../Add_111]},PushPop,649196,649196,4,4,35904,8976.0,8896.0,8672,9440,326.9,__myl_MulMinMaxRouCas_0x5d22e06f0128b92bf02f50e9b05f0125
TensorRT:{ForeignNode[/Cast.../Add_111]},PushPop,649196,649196,4,4,35872,8968.0,8864.0,8768,9376,277.0,__myl_MulMinMaxRouCas_0xa01c797cf706031bf4679ec54cf7b88d
TensorRT:{ForeignNode[/Cast.../Add_111]},PushPop,649196,649196,4,4,35616,8904.0,8784.0,8704,9344,296.0,__myl_MulMinMaxRouCas_0xca1e8a983af10962a50c67e0fecf3bd1
TensorRT:{ForeignNode[/Cast.../Add_111]},PushPop,649196,649196,4,4,35584,8896.0,8896.0,8576,9216,334.6,__myl_MulMinMaxRouCas_0x907030f04aaedcd668915c250cbde546
TensorRT:{ForeignNode[/Cast.../Add_111]},PushPop,649196,649196,4,4,35552,8888.0,8784.0,8640,9344,318.3,__myl_MulMinMaxRouCas_0x472744a06bd7fd057961674c77025970
TensorRT:{ForeignNode[/Cast.../Add_111]},PushPop,649196,649196,4,4,35264,8816.0,8800.0,8544,9120,235.9,__myl_MulMinMaxRouCas_0x0b3337a1cc9120f6d73fd89c494a9e53
TensorRT:{ForeignNode[/Cast.../Add_111]},PushPop,649196,649196,4,4,35264,8816.0,8800.0,8512,9152,267.1,__myl_MulMinMaxRouCas_0x36a6981344c30226a5bbeed5f55c92f7
TensorRT:{ForeignNode[/Cast.../Add_111]},PushPop,649196,649196,4,4,35264,8816.0,8880.0,8352,9152,337.1,__myl_MulMinMaxRouCas_0x46757e257e41ef1fb92716579e35a0d1
TensorRT:{ForeignNode[/Cast.../Add_111]},PushPop,649196,649196,4,4,35104,8776.0,8848.0,8384,9024,281.9,__myl_MulMinMaxRouCas_0x2bde768f3e1a80e37132bb2f4be64789
TensorRT:{ForeignNode[/Cast.../Add_111]},PushPop,649196,649196,4,4,35008,8752.0,8816.0,8512,8864,162.1,__myl_MulMinMaxRouCas_0x6a10bd9f6c374e5ad061c0d2824b0a25
TensorRT:{ForeignNode[/Cast.../Add_111]},PushPop,649196,649196,4,4,34880,8720.0,8768.0,8576,8768,96.0,__myl_MulMinMaxRouCas_0x998f9d85786c1705f75b803510b59e30
TensorRT:{ForeignNode[/Cast.../Add_111]},PushPop,649196,649196,4,4,34816,8704.0,8848.0,8224,8896,323.2,__myl_MulMinMaxRouCas_0x8dd8f4f93c6a1e7d8a5025e20f21222e
TensorRT:{ForeignNode[/Cast.../Add_111]},PushPop,649196,649196,4,4,34752,8688.0,8896.0,7936,9024,505.0,__myl_MulMinMaxRouCas_0x59f8206e6baa651ad7dab50737cc8951
TensorRT:{ForeignNode[/Cast.../Add_111]},PushPop,649196,649196,4,4,34720,8680.0,8704.0,8288,9024,306.2,__myl_MulMinMaxRouCas_0xfffd234660cce4d6758da70fc32eeb17
TensorRT:{ForeignNode[/Cast.../Add_111]},PushPop,649196,649196,4,4,34656,8664.0,8688.0,8512,8768,108.9,__myl_MulMinMaxRouCas_0x77ca5ed9b2797810688767dcda08897e
TensorRT:{ForeignNode[/Cast.../Add_111]},PushPop,649196,649196,4,4,34304,8576.0,8608.0,8288,8800,226.3,__myl_MulMinMaxRouCas_0x1fb837ee240f07d62ca7b72c8a105b6f
TensorRT:{ForeignNode[/Cast.../Add_111]},PushPop,649196,649196,4,4,34176,8544.0,8704.0,7968,8800,386.7,__myl_MulMinMaxRouCas_0x9ee6ac5b9454da6749214d07f11973df
TensorRT:{ForeignNode[/Cast.../Add_111]},PushPop,649196,649196,4,4,34112,8528.0,8640.0,7968,8864,388.0,__myl_MulMinMaxRouCas_0xa64eacd40f6a244c6f97851e4148bfa0
TensorRT:{ForeignNode[/Cast.../Add_111]},PushPop,649196,649196,4,4,33504,8376.0,8384.0,7936,8800,424.0,__myl_MulMinMaxRouCas_0x56e74360c3e8a36d72970af72bdd3e2b
TensorRT:{ForeignNode[/Cast.../Add_111]},PushPop,649196,649196,4,4,32544,8136.0,8112.0,7936,8384,219.2,__myl_MulMinMaxRouCas_0xf131f88ee6d7693232e76c9290134799
TensorRT:{ForeignNode[/Cast.../Add_111]},PushPop,649196,649196,4,4,32128,8032.0,7952.0,7904,8320,193.8,__myl_MulMinMaxRouCas_0xa49a3c4e66279a6886312b656336d70d
TensorRT:{ForeignNode[/Cast.../Add_111]},PushPop,649196,649196,3,3,29152,9717.3,9856.0,9376,9920,297.3,__myl_RepIotIotRepCasAddCasEqlLtOrSel_0xeed00a2999d9a920ce4be4d44852c879_com
TensorRT:{ForeignNode[/Cast.../Add_111]},PushPop,649196,649196,1,1,28640,28640.0,28640.0,28640,28640,0.0,__myl_CasResMulConSinResCosResAddSqrAddSqrDivMulDivMulMulResSliSliNegConMulMulAddConResRepResTraEtc_0x3beb58e4cd3dae3f69eebdbcbcc43980_com
TensorRT:{ForeignNode[/Cast.../Add_111]},PushPop,649196,649196,1,1,16800,16800.0,16800.0,16800,16800,0.0,__myl_MovResConResRep_0xeb90291bbf009f8413c8500b92afa70a_com
TensorRT:{ForeignNode[/Cast.../Cast_1]},PushPop,649196,649196,7,7,133568,19081.1,19104.0,17984,20160,630.0,__myl_MovMulMeaAddSqrDivMulMulCas_0x62665ed68e2d72f01be2ec50e848f2e2_vec
TensorRT:{ForeignNode[ONNXTRT_castHelper.../Gather]},PushPop,649196,649196,4,4,92864,23216.0,23216.0,22176,24256,854.1,__myl_CasGat_0xdee2c73dd5d0e0fe099a0774cba2143f
TensorRT:{ForeignNode[ONNXTRT_castHelper.../Gather]},PushPop,649196,649196,3,3,49440,16480.0,16800.0,15840,16800,554.3,__myl_CasGat_0xdee2c73dd5d0e0fe099a0774cba2143f_com
TensorRT:{ForeignNode[onnx::MatMul_4 + ONNXTRT_Broadcast.../MatMul]},PushPop,649196,649196,7,7,70820032,10117147.4,10117664.0,10111456,10121376,3431.2,trt_ampere_h16816gemm_128x64_ldg8_nn_v1
myelin-exec:/MatMul,PushPop,649196,649196,7,7,70820032,10117147.4,10117664.0,10111456,10121376,3431.2,trt_ampere_h16816gemm_128x64_ldg8_nn_v1
myelin-exec:/MatMul,PushPop,649196,649196,4,4,124288,31072.0,31024.0,30528,31712,500.5,sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_aligna2_alignc2_execute_kernel_trt
myelin-exec:/MatMul_1,PushPop,649196,649196,4,4,202976,50744.0,50736.0,50656,50848,102.4,sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize64x128x32_stage5_warpsize2x2x1_tensor16x8x16_aligna2_alignc2_execute_kernel_trt
myelin-exec:/MatMul_10,PushPop,649196,649196,4,4,133024,33256.0,33312.0,32800,33600,393.1,sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_aligna2_alignc2_execute_kernel_trt
myelin-exec:/MatMul_11,PushPop,649196,649196,4,4,204064,51016.0,51056.0,50496,51456,394.8,sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize64x128x32_stage5_warpsize2x2x1_tensor16x8x16_aligna2_alignc2_execute_kernel_trt
myelin-exec:/MatMul_12,PushPop,649196,649196,4,4,132960,33240.0,33376.0,32448,33760,573.3,sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_aligna2_alignc2_execute_kernel_trt
myelin-exec:/MatMul_13,PushPop,649196,649196,4,4,201600,50400.0,50448.0,50240,50464,107.7,sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize64x128x32_stage5_warpsize2x2x1_tensor16x8x16_aligna2_alignc2_execute_kernel_trt
myelin-exec:/MatMul_14,PushPop,649196,649196,4,4,133408,33352.0,33440.0,33024,33504,222.3,sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_aligna2_alignc2_execute_kernel_trt
myelin-exec:/MatMul_15,PushPop,649196,649196,4,4,203552,50888.0,50912.0,50560,51168,270.7,sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize64x128x32_stage5_warpsize2x2x1_tensor16x8x16_aligna2_alignc2_execute_kernel_trt
myelin-exec:/MatMul_16,PushPop,649196,649196,4,4,132256,33064.0,32912.0,32672,33760,506.9,sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_aligna2_alignc2_execute_kernel_trt
